source_ip,destination_ip,protocol,source_port,destination_port,flow_duration,total_packets,total_bytes,packet_rate,service,label
192.168.1.10,10.0.0.10,TCP,52001,443,12.5,24,18240,1.9,https,NORMAL
192.168.1.11,10.0.0.10,TCP,52002,80,18.2,31,21400,1.7,http,NORMAL
192.168.1.12,10.0.0.53,UDP,53001,53,2.1,4,520,1.9,dns,NORMAL
192.168.1.13,10.0.0.10,TCP,54001,443,9.3,16,12000,1.7,https,NORMAL
192.168.1.14,10.0.0.10,TCP,55001,80,28.1,43,39000,1.5,http,NORMAL
10.10.2.5,10.0.0.10,TCP,61000,22,0.2,22,1850,110.0,unknown,Brute Force
10.10.2.6,10.0.0.10,UDP,62000,53,0.1,25,2100,250.0,unknown,DDoS
10.10.2.7,10.0.0.10,TCP,63000,80,0.3,18,1600,60.0,unknown,Port Scan
10.10.2.8,10.0.0.10,TCP,64000,443,0.4,20,1900,50.0,unknown,Web Attack
10.10.2.9,10.0.0.53,UDP,65000,53,0.1,23,2050,230.0,unknown,DDoS
192.168.1.15,10.0.0.10,TCP,56001,443,11.8,22,16900,1.8,https,NORMAL
192.168.1.16,10.0.0.53,UDP,57001,53,3.2,5,600,1.6,dns,NORMAL
10.10.2.10,10.0.0.10,TCP,65100,22,0.2,21,1800,105.0,unknown,Brute Force
10.10.2.11,10.0.0.10,TCP,65200,80,0.3,19,1700,63.0,unknown,Port Scan
192.168.1.17,10.0.0.10,TCP,58001,80,20.2,33,26800,1.6,http,NORMAL
10.10.2.12,10.0.0.53,UDP,65300,53,0.1,24,2080,240.0,unknown,DDoS
